respondent_id,wording_arm,question_wording,age_band,gender,digital_confidence_z,likelihood_1_5,item_missing,survey_completed,completion_seconds
R0001,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,-0.595,2.0,0,1,207
R0002,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Man,-1.723,4.0,0,1,215
R0003,Neutral,How likely are you to use the council's new online services?,35-54,Man,1.868,3.0,0,1,291
R0004,Neutral,How likely are you to use the council's new online services?,35-54,Woman,0.7,4.0,0,1,330
R0005,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,0.005,3.0,0,1,175
R0006,Neutral,How likely are you to use the council's new online services?,55+,Man,-0.839,1.0,0,1,270
R0007,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Woman,1.601,5.0,0,1,174
R0008,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Man,-0.642,3.0,0,1,176
R0009,Neutral,How likely are you to use the council's new online services?,55+,Man,-0.016,3.0,0,1,135
R0010,Neutral,How likely are you to use the council's new online services?,55+,Man,0.871,4.0,0,1,269
R0011,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Woman,-1.43,3.0,0,1,112
R0012,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Woman,-0.097,3.0,0,1,200
R0013,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Woman,2.013,5.0,0,1,207
R0014,Neutral,How likely are you to use the council's new online services?,18-34,Woman,0.977,4.0,0,1,94
R0015,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Man,-0.757,3.0,0,1,189
R0016,Neutral,How likely are you to use the council's new online services?,35-54,Man,-0.572,3.0,0,1,181
R0017,Neutral,How likely are you to use the council's new online services?,18-34,Man,0.3,3.0,0,1,160
R0018,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Woman,0.662,,1,1,209
R0019,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,0.358,3.0,0,1,413
R0020,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Woman,0.595,4.0,0,1,197
R0021,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,-2.097,3.0,0,1,233
R0022,Neutral,How likely are you to use the council's new online services?,55+,Man,0.408,,1,1,201
R0023,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,-0.552,3.0,0,1,272
R0024,Neutral,How likely are you to use the council's new online services?,35-54,Woman,0.023,2.0,0,1,160
R0025,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Woman,-1.046,3.0,0,1,264
R0026,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Woman,-0.249,4.0,0,1,227
R0027,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Man,-0.089,4.0,0,1,207
R0028,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,0.532,4.0,0,1,158
R0029,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Man,0.085,4.0,0,1,186
R0030,Neutral,How likely are you to use the council's new online services?,55+,Non-binary / self-describe,0.354,2.0,0,1,296
R0031,Neutral,How likely are you to use the council's new online services?,35-54,Man,-0.738,3.0,0,1,286
R0032,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Man,-0.424,4.0,0,1,400
R0033,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Man,-1.913,1.0,0,0,227
R0034,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Woman,0.99,1.0,0,1,253
R0035,Neutral,How likely are you to use the council's new online services?,18-34,Woman,-0.56,3.0,0,1,166
R0036,Neutral,How likely are you to use the council's new online services?,55+,Woman,-2.234,,1,1,165
R0037,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Woman,-0.572,1.0,0,1,370
R0038,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,0.812,4.0,0,0,326
R0039,Neutral,How likely are you to use the council's new online services?,35-54,Woman,0.366,3.0,0,1,236
R0040,Neutral,How likely are you to use the council's new online services?,55+,Man,-0.775,3.0,0,1,129
R0041,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,0.164,3.0,0,1,213
