wording_arm,likelihood_1_5,n,share
Benefit-framed,1.0,28,0.03622250970245795
Benefit-framed,2.0,120,0.15523932729624837
Benefit-framed,3.0,236,0.3053040103492885
Benefit-framed,4.0,239,0.3091849935316947
Benefit-framed,5.0,150,0.19404915912031048
Effort-framed,1.0,116,0.15425531914893617
Effort-framed,2.0,196,0.26063829787234044
Effort-framed,3.0,248,0.32978723404255317
Effort-framed,4.0,138,0.18351063829787234
Effort-framed,5.0,54,0.07180851063829788
Neutral,1.0,72,0.09290322580645162
Neutral,2.0,161,0.20774193548387096
Neutral,3.0,257,0.33161290322580644
Neutral,4.0,208,0.26838709677419353
Neutral,5.0,77,0.09935483870967741
